transforms,rotation_45,rotation_-45,rotation_90,rotation_-90,rotation_180,flips_left_right,flips_top_bottom,rescale_x0.5,rescale_x1.5,gaussian_noise,average_filtering,impulse_noise,gaussian_blurring,jpeg_compression,median_filtering,crop_x0.03,crop_x0.05,crop_x0.10,contrast_x0.5,contrast_x0.2,brightness_x0.5,brightness_x0.2,colorbalance_x0.5,colorbalance_x0.2,affine_transform,perspective_transform
rotation_45,N/A,N/A,N/A,N/A,N/A,0.5406181551174831,0.5176815760653126,0.5707294155714855,0.570685857228196,0.5719770509757068,0.5719117134607726,0.5712521156909598,0.5719770509757068,0.5719739396654719,0.5720703902827559,0.5723659647550776,0.5729353345280764,0.5733024691358025,0.5700667064914376,0.5688470728793309,0.5706640780565512,0.5707076363998407,0.5708694245320589,0.5714481282357626,0.5028561827956989,0.5754990541616886
rotation_-45,N/A,N/A,N/A,N/A,N/A,0.5472110215053764,0.5136088709677419,0.571049880525687,0.5710218787335722,0.5726615392273995,0.5726273148148148,0.5719179360812425,0.5726615392273995,0.5724686379928315,0.5726024243329351,0.573346027479092,0.5751039177618479,0.5777080844285145,0.5701942702110713,0.5689061877737953,0.5710156561131023,0.571056103146157,0.5711307745917961,0.5715912485065711,0.5819705794504182,0.5704618428912783
rotation_90,N/A,N/A,N/A,N/A,N/A,0.5378553116288332,0.5430200866188769,0.5099499701314217,0.5099406362007168,0.510018418956591,0.5100308641975309,0.5101397600557547,0.510018418956591,0.5099655266825965,0.5103544404619673,0.5088827907208283,0.5077689416567105,0.5039731431700518,0.5096077260055755,0.5098566308243727,0.5098939665471923,0.5099126344086021,0.5097912933094385,0.510021530266826,0.46994163181999205,0.5502103245718837
rotation_-90,N/A,N/A,N/A,N/A,N/A,0.5430200866188769,0.5378553116288332,0.5088298984468339,0.5088330097570689,0.5091348068498606,0.5091596973317404,0.5089730187176423,0.5091348068498606,0.5091192502986858,0.5090539127837514,0.508450318598168,0.5075853743528475,0.5040913729589804,0.5087427817602549,0.5086805555555556,0.5088298984468339,0.5088610115491836,0.5088890133412983,0.5089076812027081,0.525189167662286,0.553215850258861
rotation_180,N/A,N/A,N/A,N/A,N/A,0.5378273098367184,0.6601266925527678,0.4562145310633214,0.4562580894066109,0.45587850955794507,0.4558349512146555,0.45587850955794507,0.45587850955794507,0.45585050776583036,0.4557167214257268,0.4562954251294305,0.45493889386698527,0.45396194245320587,0.4564385454002389,0.4565909996017523,0.4564012096774194,0.4562892025089606,0.45633587216248506,0.45686790621266427,0.44320925428116287,0.5255189665471923
flips_left_right,0.5471736857825568,0.5406679360812425,0.543016975308642,0.5378148645957785,0.5378273098367184,N/A,N/A,0.6601546943448825,0.6601360264834727,0.6589537285941856,0.6588915023894862,0.6591341845878136,0.6589537285941856,0.6589257268020708,0.6588666119076065,0.6541498655913979,0.6465800477897252,0.6296389635603346,0.6599991288331342,0.6602200318598168,0.6600986907606531,0.6600302419354839,0.6602075866188769,0.660111136001593,0.571693921744325,0.5588099860613301
flips_top_bottom,0.5135777578653923,0.5176504629629629,0.5377993080446037,0.5430760902031063,0.6601266925527678,N/A,N/A,0.5377619723217841,0.5378428663878932,0.5371708233771406,0.5371521555157308,0.5370961519315014,0.5371708233771406,0.5371459328952608,0.5369592542811629,0.5354035991636799,0.531530017921147,0.5245606829948227,0.5379362056949423,0.5378024193548387,0.5378802021107129,0.537873979490243,0.5379766527279968,0.5381664426523297,0.48031474014336917,0.5401421246515332
rescale_x0.5,0.570595629231382,0.5709907656312226,0.5099126344086021,0.5088983472720032,0.4562145310633214,0.6601546943448825,0.5377619723217841,N/A,N/A,0.9744872560732776,0.9746552668259657,0.9762762594583831,0.9744872560732776,0.974910394265233,0.9724555704898447,0.9475899790919953,0.9119001393866986,0.8260622013142175,0.9951899143767423,0.9924861857825568,0.9979558691756273,0.996512221226603,0.995127688172043,0.9886530515730785,0.5504934538032656,0.5691022003185982
rescale_x1.5,0.5705365143369175,0.5709316507367582,0.5099126344086021,0.5088672341696535,0.4562580894066109,0.6601360264834727,0.5378428663878932,N/A,N/A,0.9748792811628834,0.9748637246117084,0.9769203006770211,0.9748792811628834,0.9748357228195937,0.974810832337714,0.9444880027877339,0.9074136300278773,0.8254710523695739,0.9953268120270808,0.9928222072879331,0.9981736608920748,0.996509109916368,0.9951836917562724,0.98897973914775,0.6327067154520112,0.5947269514137794
gaussian_noise,0.5719490491835922,0.5726242035045799,0.5100339755077659,0.5091192502986858,0.45587850955794507,0.6589537285941856,0.5371708233771406,0.9747610513739546,0.9748606133014736,N/A,0.9984505675029869,0.9952708084428514,0.9982545549581839,0.9975265083632019,0.997797192353644,0.9379480286738351,0.9025133164078056,0.8229571136997212,0.9743970280764636,0.9741792363600159,0.9749041716447631,0.9750130675029869,0.9745059239346874,0.9721879978096376,0.6331205197132617,0.5807353892871366
