transforms,rotation_45,rotation_-45,rotation_90,rotation_-90,rotation_180,flips_left_right,flips_top_bottom,rescale_x0.5,rescale_x1.5,gaussian_noise,average_filtering,impulse_noise,gaussian_blurring,jpeg_compression,median_filtering,crop_x0.03,crop_x0.05,crop_x0.10,contrast_x0.5,contrast_x0.2,brightness_x0.5,brightness_x0.2,colorbalance_x0.5,colorbalance_x0.2,affine_transform,perspective_transform
rotation_45,N/A,N/A,N/A,N/A,N/A,0.9357256642202493,0.9357256642202493,0.9326107982021588,0.9352657829359959,0.8148811894331573,0.8144307902372381,0.8144734596347458,0.8148811894331573,0.8152936602757332,0.8134493940945504,0.9342843867933103,0.9342654226166404,0.9399546756177173,0.9117075344673651,0.8930989361096706,0.8986506988298859,0.8711479016138316,0.915642601126444,0.8445790900987907,0.8182757770571356,0.7768343099884225
rotation_-45,N/A,N/A,N/A,N/A,N/A,0.9352515598034968,0.9352515598034968,0.9326060571579952,0.934829606872583,0.8146583603572805,0.8142885589122107,0.8150091976256796,0.8146583603572805,0.8149570461398372,0.813036923251974,0.9339051032599063,0.9340947450266066,0.9388310481500051,0.9112808404922801,0.8931179002863409,0.8981623712806281,0.8711716068346688,0.9153960668297325,0.8451906847964087,0.817521951034491,0.777095067417639
rotation_90,N/A,N/A,N/A,N/A,N/A,0.9561216362291335,0.9561216362291335,0.9507927025847861,0.954533386432996,0.8313468358271209,0.8314843261079808,0.825520092545176,0.8313468358271209,0.8323566782348133,0.8318873148622251,0.9523999165575936,0.9500293944738074,0.9448095048453136,0.9108304412963633,0.8927575809296044,0.9103373727029356,0.8844939409455352,0.9198242020822422,0.8485568261553789,0.822988374959697,0.7756964593882067
rotation_-90,N/A,N/A,N/A,N/A,N/A,0.9561216362291335,0.9561216362291335,0.9507927025847861,0.954533386432996,0.8313468358271209,0.8314843261079808,0.8255485388101804,0.8313468358271209,0.8323282319698078,0.8318873148622251,0.9530399575202155,0.950996567483994,0.9467865202631887,0.9108304412963633,0.8927575809296044,0.9103373727029356,0.8844939409455352,0.9198242020822422,0.8485568261553789,0.8239128785723743,0.7776639927177489
rotation_180,N/A,N/A,N/A,N/A,N/A,1.0,1.0,0.9890102596195663,0.9969704727769189,0.854241338112288,0.8550473156207749,0.8470207278450911,0.854241338112288,0.8585414651722725,0.857569551117918,0.9914661204983655,0.985786349585618,0.9746591189243297,0.9068384821072741,0.894222563577384,0.9287515882497639,0.9010117388253402,0.9366928372304423,0.853582332973,0.8283267906923738,0.7865581915761072
flips_left_right,0.9352894881568373,0.9357351463085845,0.9561216362291339,0.9561216362291339,1.0,N/A,N/A,0.9890102596195663,0.9969704727769189,0.854241338112288,0.8550473156207749,0.8468595323433928,0.854241338112288,0.8586078397906176,0.857569551117918,0.9918738502967781,0.9863505338415578,0.9746543778801608,0.9068384821072741,0.894222563577384,0.9287515882497639,0.9010117388253402,0.9366928372304423,0.853582332973,0.8326269177523586,0.7844531679657073
flips_top_bottom,0.935270523980167,0.9357446283969194,0.9561121541407985,0.9561121541407985,1.0,N/A,N/A,0.9890102596195663,0.9969704727769189,0.854241338112288,0.8550473156207749,0.8469733174034147,0.854241338112288,0.8584324211564178,0.857569551117918,0.9920255637101388,0.9863457927973897,0.9743936204509445,0.9068384821072741,0.894222563577384,0.9287515882497639,0.9010117388253402,0.9366928372304423,0.853582332973,0.8298865942235022,0.7870844474787067
rescale_x0.5,0.9325396825396454,0.9325302004513151,0.9507547742314443,0.9507547742314443,0.9890102596195663,0.9890102596195663,0.9890102596195663,N/A,N/A,0.8512070698450476,0.8518423697635027,0.8471724412584519,0.8512070698450476,0.8568346892719482,0.8560334528076273,0.984937702679621,0.9812633934497539,0.9708425783694332,0.905288160664478,0.8945070262274358,0.9248686730765263,0.896782727427874,0.9369915230129974,0.8524681875936209,0.8159668885475191,0.7740228707970539
rescale_x1.5,0.9354127553051911,0.9348248658284153,0.9545665737421692,0.9545665737421692,0.9969704727769189,0.9969704727769189,0.9969704727769189,N/A,N/A,0.8572092317611849,0.8576406667804342,0.8469827994917493,0.8572092317611849,0.8587642942481467,0.8585888756139454,0.9904562780906738,0.9852411295063449,0.9738673645483417,0.906810035842268,0.8941561889590384,0.9283912688930293,0.9000967173009978,0.9370199692780038,0.8536771538563501,0.8237090136731647,0.7814947564051438
gaussian_noise,0.814691547666455,0.814416567104735,0.8313278716504505,0.8313278716504505,0.854241338112288,0.854241338112288,0.854241338112288,0.8543646052606447,0.8542792664656287,N/A,0.9676565966888298,0.9291593180481782,0.9665566744419544,0.9703542508201778,0.9710985947544836,0.8539473933738994,0.8528711763478615,0.8502019684815213,0.8579725398721705,0.8919089340236108,0.8519514137793599,0.8760359181506066,0.8338927765451014,0.7976190476190436,0.9443685877377279,0.8965598983519918
average_filtering,0.8142743357797086,0.814274335779708,0.8315459596821584,0.8315459596821584,0.8550473156207749,0.8550473156207749,0.8550473156207749,0.8550567977091093,0.855014128311602,0.967666078777165,N/A,0.9289222658397999,0.967666078777165,0.9721274013388478,0.9728053706548079,0.8542460791564569,0.8533357986762831,0.8503868692040554,0.8570670004361636,0.8917192922569083,0.8517570309684894,0.8743718116477909,0.8334708236141879,0.7967040260947029,0.9445440063719274,0.8971146005195981
impulse_noise,0.8152272856573869,0.8151893573040496,0.8264777834670215,0.8264777834670215,0.8470017636684194,0.8470017636684194,0.8470017636684194,0.8488081014962622,0.8479784187669371,0.8800326183838524,0.8820333390225653,N/A,0.8800326183838524,0.8799235743679952,0.962341886176987,0.8467125599741986,0.846176821983264,0.8451337922664013,0.8460772600557466,0.8820238569342354,0.8495477043864043,0.8646526711042685,0.8239271017048706,0.7910242551819566,0.8899129544290623,0.8376002730841301
gaussian_blurring,0.814691547666455,0.814416567104735,0.8313278716504505,0.8313278716504505,0.854241338112288,0.854241338112288,0.854241338112288,0.8543646052606447,0.8542792664656287,0.9665566744419544,0.9676565966888298,0.9291688001365132,N/A,0.9703542508201778,0.9710985947544836,0.8539473933738994,0.8528711763478615,0.8502019684815213,0.8579725398721705,0.8919089340236108,0.8519514137793599,0.8760359181506066,0.8338927765451014,0.7976190476190436,0.9443685877377279,0.8965598983519918
jpeg_compression,0.8148432610798155,0.8146536193131133,0.8323377140581429,0.8323377140581429,0.8584561263772557,0.8584561263772557,0.8584561263772557,0.857740228707954,0.8582617435663853,0.9701314217443012,0.9717955282471182,0.9268599116269085,0.9701314217443012,N/A,0.9784282490375478,0.8574652481462315,0.8558912214825994,0.8521173503252165,0.8524444823727854,0.8896095276023427,0.8485947545087228,0.8623200773738348,0.831176158237084,0.7932809922057206,0.9427803379415918,0.8967400580303599
median_filtering,0.8132976806811881,0.812961066545293,0.831830422332214,0.831830422332214,0.857569551117918,0.857569551117918,0.857569551117918,0.8573751683070483,0.8575079175437397,0.9733221444690735,0.9752090800477673,0.9274240958828462,0.9733221444690735,0.9793811989152313,N/A,0.8562610229276704,0.8549050842957453,0.8514630862300936,0.8549335305607585,0.8909986535434385,0.8510174280783493,0.8722810111698951,0.8306214560694802,0.7969221141264101,0.9436574311125917,0.8979016138514138
crop_x0.03,0.9335163376381674,0.9330327511330752,0.9522671673209011,0.9522671673209011,0.9920065995334703,0.9920065995334703,0.9920065995334703,0.9849139974587829,0.9906980713432199,0.8539710985947376,0.8542555612447921,0.8466888547533609,0.8539710985947376,0.8574510250137286,0.856275246060173,N/A,N/A,N/A,0.9065966888547293,0.8941846352240436,0.9279598338737816,0.9005518575410849,0.9361665813278393,0.8536107792380049,0.8343242115643449,0.785496197682573
crop_x0.05,0.9319660161953714,0.931619919971139,0.949408317687856,0.949408317687856,0.9862983823557132,0.9862983823557132,0.9862983823557132,0.9807513606796557,0.9852885399480206,0.8529091047012021,0.8533500218087854,0.8461388936299233,0.8529091047012021,0.8558295879084208,0.8548861201190753,N/A,N/A,N/A,0.9067389201797547,0.8941324837382002,0.9271823026303011,0.9003290284652107,0.9353653448635224,0.8538478314463839,0.834561263772723,0.7858043655534636
crop_x0.10,0.9284197151580338,0.9280119853596221,0.9433255580208652,0.9433255580208652,0.9745216286434668,0.9745216286434668,0.9745216286434668,0.9707430164419142,0.973886328725012,0.8501972274373538,0.8504390206898985,0.8451006049572277,0.8501972274373538,0.8521552786785572,0.8514583451859261,N/A,N/A,N/A,0.9068432231514422,0.8942225635773839,0.92570309685002,0.8994092658967022,0.9340757808499446,0.8542460791564603,0.8339307048984361,0.786700422901133
contrast_x0.5,0.8926248316929101,0.8921744324969896,0.8962896588344395,0.8962896588344395,0.9068384821072741,0.9068384821072741,0.9068384821072741,0.905492025563683,0.9068858925489495,0.8582190741688838,0.8572376780261964,0.8424977717092281,0.8582190741688838,0.8505053953082531,0.8549619768257649,0.9067958127097668,0.9066772866055771,0.9068195179306048,N/A,N/A,0.8908659043067464,0.8968822893553852,0.9095882877244618,0.8344000682710306,0.8546585499990442,0.8197549828374092
contrast_x0.2,0.8798856460146521,0.8800136542071766,0.8829199142818905,0.8829199142818905,0.894222563577384,0.894222563577384,0.894222563577384,0.8944738389182633,0.8940044755456762,0.8926817242229236,0.8924209667937075,0.8531935673512601,0.8926817242229236,0.8868644630293209,0.891980049686124,0.894255750886557,0.8943031613282326,0.8943221255049032,N/A,N/A,0.8964840416453098,0.896645237147007,0.8952324059850751,0.8255343156776798,0.8901025961957679,0.8559481140126047
brightness_x0.5,0.915642601126444,0.9153960668297325,0.9198242020822422,0.9198242020822422,0.9366928372304423,0.9366928372304423,0.9366928372304423,0.9370673797196785,0.9371479774705288,0.8339259638542744,0.8335134930116961,0.8167159735260061,0.8339259638542744,0.8319868767897397,0.8306214560694802,0.9361665813278393,0.9353653448635224,0.9340757808499446,0.9096546623428083,0.8951802544992326,0.9036098310291615,0.8782215395118373,N/A,N/A,0.8201058201058148,0.7785790142420865
brightness_x0.2,0.8445790900987907,0.8451906847964087,0.8485568261553789,0.8485568261553789,0.853582332973,0.853582332973,0.853582332973,0.8526957577136645,0.8537245642980256,0.7976237886632112,0.7966471335646921,0.7613690239138287,0.7976237886632112,0.7961019134854236,0.7969221141264101,0.8536107792380049,0.8538478314463839,0.8542460791564603,0.8336320191158848,0.824472321784145,0.8424219150025525,0.8373205514782562,N/A,N/A,0.7915884394378983,0.7769196487834426
colorbalance_x0.5,0.8986506988298859,0.8981623712806281,0.9103373727029356,0.9103373727029356,0.9287515882497639,0.9287515882497639,0.9287515882497639,0.924887637253196,0.9284434203788725,0.8529375509662159,0.8525867136978157,0.8390747378202513,0.8529375509662159,0.8499032826989737,0.8522216532969135,0.9279598338737816,0.9271823026303011,0.92570309685002,0.8908943505717516,0.8964698185128072,N/A,N/A,0.9033964840416213,0.8423982097817154,0.8398664921962353,0.7985909616733939
colorbalance_x0.2,0.8711479016138316,0.8711716068346688,0.8844939409455352,0.8844939409455352,0.9010117388253402,0.9010117388253402,0.9010117388253402,0.8968822893553924,0.9015901462137798,0.8869924712218545,0.8857787639149581,0.840866852515588,0.8869924712218545,0.8643587263658928,0.8810329787032252,0.9005518575410849,0.9003290284652107,0.8994092658967022,0.8968633251787149,0.896645237147007,N/A,N/A,0.8783969581460366,0.8375718268191372,0.8662504029887441,0.8261222051544472
affine_transform,0.8168771690276992,0.8174223891069726,0.8238275397773571,0.8238275397773571,0.8341582750184813,0.8341582750184813,0.8341582750184813,0.8352819024861937,0.8343763630501895,0.9451034495837017,0.9451793062903829,0.90678633062143,0.9451034495837017,0.9433113348883616,0.9441125713526785,0.8360926210388472,0.8369365269006734,0.8375481215982891,0.8537340463863663,0.8877320741119877,0.8388850960535487,0.8558295879084336,0.82011530219415,0.7916026625704007,N/A,0.8861817526691893
perspective_transform,0.778294551592035,0.7775265024368879,0.7768722383417672,0.7768722383417672,0.7848040052341081,0.7848040052341081,0.7848040052341081,0.7855056797709078,0.7849177902941297,0.8964887826894777,0.8969913333712402,0.842777493315112,0.8964887826894777,0.8962138021277617,0.897821016100566,0.791232861125329,0.7971496842464527,0.8096565587604974,0.8355426599154095,0.8730111319716951,0.7978276535624148,0.8161423071817194,0.7785884963304215,0.7771804062126597,0.9179420075477127,N/A
