transforms,rotation_45,rotation_-45,rotation_90,rotation_-90,rotation_180,flips_left_right,flips_top_bottom,rescale_x0.5,rescale_x1.5,gaussian_noise,average_filtering,impulse_noise,gaussian_blurring,jpeg_compression,median_filtering,crop_x0.03,crop_x0.05,crop_x0.10,contrast_x0.5,contrast_x0.2,brightness_x0.5,brightness_x0.2,colorbalance_x0.5,colorbalance_x0.2,affine_transform,perspective_transform
rotation_45,N/A,N/A,N/A,N/A,N/A,0.520584428514536,0.5152827558741537,0.5112442751891677,0.5113687275985663,0.5114371764237355,0.5115367383512545,0.511480734767025,0.5114371764237355,0.5114994026284349,0.5112940561529271,0.512401682596575,0.5124203504579848,0.5131919553962565,0.511213162086818,0.5113625049780963,0.511306501393867,0.511393618080446,0.5113251692552768,0.5114122859418558,0.5042002688172043,0.5172304360812425
rotation_-45,N/A,N/A,N/A,N/A,N/A,0.5213809239346874,0.5142124651533254,0.5119225408203902,0.5117918657905217,0.5118292015133413,0.5119225408203902,0.5118105336519315,0.5118292015133413,0.5117731979291119,0.5118914277180406,0.5108273596176822,0.5094272700119474,0.5087552270011948,0.5121714456391876,0.5122087813620072,0.5117980884109916,0.5119349860613301,0.5118229788928713,0.5120345479888491,0.5131795101553166,0.5170188669852648
rotation_90,N/A,N/A,N/A,N/A,N/A,0.5497374054161689,0.551566855834329,0.5016614396654719,0.5016365491835922,0.501748556352051,0.5017858920748706,0.5017547789725209,0.501748556352051,0.5016365491835922,0.5019539028275587,0.5015992134607726,0.5027317303863003,0.5041069295101553,0.5015743229788928,0.5014996515332537,0.5016738849064117,0.5015556551174831,0.5016303265631222,0.5017734468339307,0.5023521505376344,0.5108771405814416
rotation_-90,N/A,N/A,N/A,N/A,N/A,0.551566855834329,0.5497374054161689,0.5016365491835922,0.5017236658701713,0.5016116587017124,0.5015432098765432,0.5018356730386301,0.5016116587017124,0.5015494324970131,0.5017361111111112,0.5022339207487057,0.5021592493030665,0.5047727499004381,0.5017049980087614,0.5019227897252091,0.5018232277976902,0.5017921146953405,0.5017610015929909,0.5016863301473516,0.5056812524890482,0.5123207885304659
rotation_180,N/A,N/A,N/A,N/A,N/A,0.5085872162485066,0.5102611011549184,0.5011636300278773,0.5011636300278773,0.5004106929510155,0.5004169155714855,0.5006595977698128,0.5004106929510155,0.5004791417761848,0.5007529370768619,0.5024392672242135,0.5038269115890084,0.5053141178813222,0.5009333930704899,0.5008836121067304,0.5010951812027081,0.5010516228594185,0.5009458383114297,0.5008960573476703,0.5011325169255276,0.514156461569096
flips_left_right,0.5214058144165671,0.5205782058940661,0.5515979689366786,0.5498245221027479,0.5085872162485066,N/A,N/A,0.5103046594982079,0.5102673237753883,0.5094957188371166,0.5094770509757068,0.5097881819992035,0.5094957188371166,0.5097259557945042,0.5097944046196734,0.5137893269613699,0.5170624253285544,0.524168657905217,0.5103917761847869,0.5104664476304261,0.5103171047391477,0.5103171047391477,0.5103171047391477,0.5104353345280764,0.5163717144563919,0.5116051871764238
flips_top_bottom,0.5142249103942652,0.5152952011150936,0.5499240840302668,0.5517224213460773,0.5102611011549184,N/A,N/A,0.5086369972122661,0.5086556650736759,0.5075791517323776,0.5075791517323776,0.5076164874551972,0.5075791517323776,0.5078218339307049,0.507635155316607,0.5097632915173238,0.512227449223417,0.5188856531262446,0.5085685483870968,0.5086930007964954,0.5086307745917961,0.5085685483870968,0.5086183293508563,0.5087738948626045,0.5043060533651932,0.5146853843090402
rescale_x0.5,0.511306501393867,0.5120158801274393,0.5018294504181601,0.501648994424532,0.5011636300278773,0.5103046594982079,0.5086369972122661,N/A,N/A,0.9681526284348865,0.9682521903624054,0.9676797092791717,0.9681526284348865,0.9679535045798486,0.9616313221823974,0.9014834727200318,0.8375460473914775,0.6922229689366786,0.9955383811230586,0.9912136598964556,0.9979652031063322,0.9972060434090004,0.9958059538032656,0.9911825467941059,0.5224387694145759,0.5156187773795301
rescale_x1.5,0.5113313918757467,0.5117980884109916,0.5017298884906412,0.5017112206292313,0.5011636300278773,0.5102673237753883,0.5086556650736759,N/A,N/A,0.9684139784946236,0.9683393070489845,0.9704176622859418,0.9684139784946236,0.968021953405018,0.9679783950617284,0.8958271107128634,0.8301660195141378,0.6915011449621664,0.9956130525686977,0.9914065611310235,0.9981705495818399,0.9973242731979292,0.9958806252489049,0.9915247909199522,0.5288480684986061,0.5162410394265233
gaussian_noise,0.5114496216646754,0.5117296395858224,0.5017236658701713,0.5016054360812425,0.5004106929510155,0.5094957188371166,0.5075791517323776,0.9682833034647551,0.9683268618080446,N/A,0.997330495818399,0.992470629231382,0.9973056053365194,0.9945116487455197,0.9961855336519315,0.8945016925527678,0.8273658403026682,0.6914326961369972,0.968021953405018,0.967094782954998,0.9682459677419355,0.9683517522899243,0.9677917164476304,0.9668769912385504,0.5337390481879729,0.5079089506172839
