transforms,rotation_45,rotation_-45,rotation_90,rotation_-90,rotation_180,flips_left_right,flips_top_bottom,rescale_x0.5,rescale_x1.5,gaussian_noise,average_filtering,impulse_noise,gaussian_blurring,jpeg_compression,median_filtering,crop_x0.03,crop_x0.05,crop_x0.10,contrast_x0.5,contrast_x0.2,brightness_x0.5,brightness_x0.2,colorbalance_x0.5,colorbalance_x0.2,affine_transform,perspective_transform
rotation_45,N/A,N/A,N/A,N/A,N/A,0.539796769215452,0.5162565959776981,0.5724157457188371,0.5724997510951813,0.5733958084428514,0.5733895858223815,0.5734580346475507,0.5733958084428514,0.5733273596176822,0.5731064565909996,0.572885553564317,0.5733304709279171,0.5713485663082437,0.5724966397849462,0.572512196336121,0.5724655266825965,0.5725059737156512,0.5725526433691757,0.5725868677817603,0.501558766427718,0.573800278773397
rotation_-45,N/A,N/A,N/A,N/A,N/A,0.5462651831939467,0.5105909000398248,0.5724935284747112,0.572524641577061,0.5723068498606133,0.5722881819992035,0.5720112753882916,0.5723068498606133,0.572241512345679,0.5721201712465154,0.5732371316208682,0.5745189914376743,0.5757541816009558,0.5724437475109518,0.5723472968936678,0.5724344135802469,0.5724530814416567,0.5725028624054161,0.5725868677817603,0.5848703205894066,0.56985513739546
rotation_90,N/A,N/A,N/A,N/A,N/A,0.5328741039426523,0.5398247710075668,0.5049718737554759,0.5049376493428913,0.5054976851851852,0.5055225756670649,0.5056345828355236,0.5054976851851852,0.5054603494623656,0.5056283602150538,0.5044896206690561,0.5042251592990841,0.5007249352847472,0.5050092094782955,0.5050340999601752,0.5049127588610115,0.5050683243727598,0.504965651135006,0.5051274392672243,0.46634495718837116,0.5537074372759857
rotation_-90,N/A,N/A,N/A,N/A,N/A,0.5398247710075668,0.5328741039426523,0.5038704699322979,0.5040167015133413,0.5041100408203902,0.5041971575069694,0.5041847122660295,0.5041100408203902,0.5042064914376743,0.5040727050975707,0.5032046495420152,0.5027317303863003,0.5002551274392673,0.504044703305456,0.5041193747510951,0.5039731431700518,0.5040042562724014,0.5040011449621664,0.5040944842692154,0.5231823725607327,0.5564640581441657
rotation_180,N/A,N/A,N/A,N/A,N/A,0.5241250995619275,0.6467978395061729,0.44061131023496614,0.4406704251294305,0.4401290571485464,0.4401477250099562,0.44039974113898844,0.4401290571485464,0.4401477250099562,0.4405708632019116,0.44197095280764637,0.441728270609319,0.4418838361210673,0.4407233174034249,0.44074820788530467,0.4406984269215452,0.4407450965750697,0.4406517572680207,0.4407513191955396,0.4349642821585026,0.52849337913182
flips_left_right,0.5462496266427718,0.5398434388689765,0.5398807745917961,0.5328616587017124,0.5241250995619275,N/A,N/A,0.6467916168857029,0.6468382865392274,0.6458177767821585,0.6457617731979292,0.6459702309836718,0.6458177767821585,0.6457182148546395,0.6458488898845082,0.6418352996814018,0.63511175826364,0.6183697978892871,0.6468974014336918,0.6471214157706093,0.6467169454400638,0.6468569544006372,0.6468133960573477,0.6469938520509757,0.5669429510155317,0.5610967990840303
flips_top_bottom,0.5105940113500598,0.5162348168060533,0.5328834378733572,0.5398527727996814,0.6467978395061729,N/A,N/A,0.5239633114297093,0.5240908751493429,0.5242962216248507,0.5244206740342493,0.5242277727996814,0.5242962216248507,0.5241188769414575,0.5243522252090801,0.5235837315810434,0.5215956043409,0.513873332337714,0.5240939864595778,0.5241188769414575,0.5241997710075668,0.5241966596973318,0.524165546594982,0.524271331142971,0.4723995669056153,0.5427836270410196
rescale_x0.5,0.5727082088809239,0.5723846326164874,0.5049096475507766,0.5038206889685384,0.44061131023496614,0.6467916168857029,0.5239633114297093,N/A,N/A,0.9707505724810832,0.9709714755077659,0.9727978146156909,0.9707505724810832,0.9720759906411788,0.9683361957387495,0.9370146356033453,0.8976814516129032,0.8097589356829948,0.9972713809239346,0.9952925876144962,0.9974985065710872,0.9971251493428913,0.9970193647949024,0.9952894763042612,0.5458389336917563,0.5881278624054161
rescale_x1.5,0.5723846326164874,0.5724437475109518,0.504965651135006,0.5039762544802867,0.4406704251294305,0.6468382865392274,0.5240908751493429,N/A,N/A,0.9724804609717244,0.972524019315014,0.9743099113898845,0.9724804609717244,0.9723808990442055,0.9721662186379928,0.9332468389088012,0.8933038381123058,0.8095535892074871,0.9985563520509757,0.9965028872958981,0.9986839157706093,0.9980616537236161,0.9984879032258065,0.9963566557148547,0.6312661788132218,0.5875833831142971
gaussian_noise,0.5734735911987257,0.5722632915173238,0.5053950119474313,0.5041504878534449,0.4401290571485464,0.6458177767821585,0.5242962216248507,0.9720791019514138,0.9721693299482278,N/A,0.9950716845878136,0.9938178265631222,0.9948165571485464,0.9949939018319395,0.9955259358821187,0.9288256670649144,0.8887146555157308,0.8077459179609717,0.9720417662285942,0.9718924233373158,0.972063545400239,0.9721257716049383,0.9721039924332935,0.971883089406611,0.6292904968140183,0.5822474860613301
average_filtering,0.573433144165671,0.5722384010354441,0.5054167911190761,0.5041535991636799,0.4401477250099562,0.6457617731979292,0.5244206740342493,0.9721786638789327,0.9721008811230586,0.9950312375547591,N/A,0.9940542861409797,0.9950312375547591,0.9953268120270808,0.9956721674631621,0.9286949920350458,0.8887955495818399,0.8075592393468738,0.9721599960175229,0.9720417662285942,0.9721257716049383,0.972147550776583,0.9720417662285942,0.9719142025089605,0.6292624950219037,0.5822132616487455
impulse_noise,0.5726770957785743,0.5713330097570689,0.5055225756670649,0.50414115392274,0.440349960175229,0.6459142273994425,0.5242246614894465,0.9739085523695739,0.9740454500199124,0.9954605983671844,0.9958370669056152,N/A,0.9954605983671844,0.9951432447232178,0.9902615989645559,0.9290621266427718,0.8890164526085225,0.8074347869374751,0.9740174482277977,0.9738867731979292,0.9740765631222621,0.9740454500199124,0.9741232327757865,0.9738121017522899,0.6286433442851453,0.5818523496614895
